title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,vacancies,requirements
Category Manager Junior - Gerencia Supermercado (Las Condes),Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-07-13,6101720,embonor,2026-07-17,2026-07-18,0.414,Jefe Área/Sección/Depto./Local,Mixta (Teletrabajo + Presencial),Coca-Cola Embonor,Universitaria,Chile,1 años,2026-11-09,https://embonor.trabajando.cl/trabajo-empleo/category-manager-junior-gerencia-supermercado-las-condes/trabajo/6101720,¡Refresca tu experiencia en Coca-Cola...,"¡Refresca tu experiencia en Coca-Cola Embonor!
En Coca-Cola Embonor estamos en búsqueda de Category Manager Junior para desempeñarse en la Gerencia de Supermercado en oficina central ubicada en Las Condes.
¿Cuál será tu principal desafío?
Serás responsable de liderar y desarrollar el proceso de Category Management para los clientes del canal Supermercado. Esto implicará analizar y comprender al consumidor, al shopper y los diferentes tipos de puntos de venta, optimizando los surtidos según variables de consumo y rentabilidad. Además, colaborarás con las áreas de marketing y comercial para diseñar estrategias que potencien nuestro portafolio en el punto de venta, asegurando una mayor rentabilidad para el canal.
Requisitos:
Titulado/a de Ingeniería Civil Industrial o Ingeniería Comercial.
Al menos 1 año de experiencia en cargos similares como Administración de Categorías, Category Management.
Contar con experiencia en áreas comerciales (ventas, marketing, trade marketing).
Experiencia en consumo masivo, idealmente conocimiento en bebidas (alcohólicas y no alcohólicas).
Manejo de bases de datos de mercado (Nielsen, Kantar).
Condiciones y Beneficios:
Contrato Indefinido.
Modalidad Hibrida.
Beneficios área de Bienestar (alimentación, salud, rendición gimnasio, planes colectivos, conectividad, becas de estudio, entre otros).
Rendición de gastos.
Para avanzar en el proceso, sigue estos pasos:
1. Postula por este medio.
2. Espera un correo de nuestra plataforma de evaluación.
3. Continúa tu postulación a través de la plataforma EVALUAR, portal de empleo oficial de Coca-Cola Embonor
¿Estas listo para refrescar la vida de nuestros consumidores con la mejor hidratación del mundo?
¡Te invitamos a ser parte de una de las empresas de consumo masivo más grande de Chile!",1,"Titulado/a de Ingeniería Civil Industrial o Ingeniería Comercial.
Al menos 1 año de experiencia en cargos similares como Administración de Categorías, Category Management.
Contar con experiencia en áreas comerciales (ventas, marketing, trade marketing).
Experiencia en consumo masivo, idealmente conocimiento en bebidas (alcohólicas y no alcohólicas).
Manejo de bases de datos de mercado (Nielsen, Kantar)."
Asistente de Bodega (Arica),Otra Área,"Arica, Arica y Parinacota",Arica,Arica y Parinacota,2026-07-12,6101095,embonor,2026-07-17,2026-07-18,0.3452,Asistente,Jornada Completa,Coca-Cola Embonor,Universitaria,Chile,1 años,2026-10-09,https://embonor.trabajando.cl/trabajo-empleo/asistente-de-bodega-arica/trabajo/6101095,¡Refresca tu experiencia en Coca-Cola...,"¡Refresca tu experiencia en Coca-Cola Embonor!
Coca-Cola Embonor busca incorporar a su área de Administración a Técnico en Administración de Empresas, Contador o carrera afín, para desempeñarse en el cargo de Asistente de Bodega para su planta en Arica.
¿Cuál será tu principal desafío?
Recibir, almacenar, controlar y entregar insumos y materias primas y materiales en general, necesarios para la producción de las bebidas y el funcionamiento general de la Planta. Además, deberás distribuir productos y materiales por medio de la operación de grúa horquilla.
Requisitos:
- Titulado/a de Técnico Nivel Superior en Administración de Empresas, Contabilidad o carrera afín.
- Al menos 1 año experiencia relacionada con el cargo en postulación.
- Disponibilidad para trabajar de lunes a sábado en turnos rotativos.
-Contar con licencia Clase D y experiencia en manejo de grúa horquilla (excluyente).
Condiciones y Beneficios:
- Contrato Plazo fijo, luego indefinido.
- Trabajo de lunes a sábado por turnos rotativos.
- Casino.
¿Estas listo para refrescar la vida de nuestros consumidores con la mejor hidratación del mundo?
¡Te invitamos a ser parte de una de las empresas de consumo masivo más grande de Chile!",1,"- Titulado/a de Técnico Nivel Superior en Administración de Empresas, Contabilidad o carrera afín.
- Al menos 1 año experiencia relacionada con el cargo en postulación.
- Disponibilidad para trabajar de lunes a sábado en turnos rotativos.
-Contar con licencia Clase D y experiencia en manejo de grúa horquilla (excluyente)."
Auxiliar de Grúa y Picking - Concón (Temporada Alta),Otra Área,"Concon, Valparaíso",Concon,Valparaíso,2026-07-09,6100310,embonor,2026-07-17,2026-07-18,0.3227,Operario,Por Turnos,Coca-Cola Embonor,Media,Chile,1 años,2026-07-09,https://embonor.trabajando.cl/trabajo-empleo/auxiliar-de-grua-y-picking-concon-temporada-alta/trabajo/6100310,En Coca-Cola Embonor estamos en búsqueda...,"En Coca-Cola Embonor estamos en búsqueda de Auxiliar de Grúa y Patio para su Planta de Concón.
¿Cuál será tu principal desafío?
- Trasladar cargas de productos de bodegas a medios de transporte y viceversa.
- Armar pallets con productos siguiendo indicaciones de orden de carga.
- Clasificar y ordenar envases según formato.
- Mantener orden y aseo de bodegas para asegurar el buen funcionamiento de la operación.
-Manejo de grúa horquilla.
Requisitos:
- Enseñanza Media Completa y experiencia relacionada con el cargo.
- Licencia clase D al día.
- Disponibilidad para trabajar en Turnos Rotativos de lunes a sábado (Mañana, Tarde y Noche).
Condiciones y Beneficios:
- Contrato plazo fijo por periodo de temporada.
- Casino.
- Bus de Acercamiento.
¿Estas listo para refrescar la vida de nuestros consumidores con la mejor hidratación del mundo?
¡Te invitamos a ser parte de una de las empresas de consumo masivo más grande de Chile!",10,"- Enseñanza Media Completa y experiencia relacionada con el cargo.
- Licencia clase D al día.
- Disponibilidad para trabajar en Turnos Rotativos de lunes a sábado (Mañana, Tarde y Noche)."
Auxiliar de Picking - Concón (Temporada Alta),Otra Área,"Concon, Valparaíso",Concon,Valparaíso,2026-07-09,6100303,embonor,2026-07-17,2026-07-18,0.3459,Operario,Por Turnos,Coca-Cola Embonor,Media,Chile,1 años,2026-07-09,https://embonor.trabajando.cl/trabajo-empleo/auxiliar-de-picking-concon-temporada-alta/trabajo/6100303,En Coca-Cola Embonor estamos en búsqueda...,"En Coca-Cola Embonor estamos en búsqueda de Auxiliares de Picking para desempeñarse en Planta de Concón.
¿Cuál será tu principal desafío?
- Trasladar cargas de productos de bodegas a medios de transporte y viceversa.
- Armar pallets con productos siguiendo indicaciones de orden de carga.
- Clasificar y ordenar envases según formato.
- Mantener orden y aseo de bodegas para asegurar el buen funcionamiento de la operación.
Requisitos:
- Enseñanza Media Completa y experiencia relacionada con el cargo.
- Disponibilidad para trabajar en Turnos Rotativos de lunes a sábado (Mañana, Tarde y Noche).
Condiciones y Beneficios:
- Contrato plazo fijo por periodo de temporada.
- Casino.
- Bus de Acercamiento.
¿Estas listo para refrescar la vida de nuestros consumidores con la mejor hidratación del mundo?
¡Te invitamos a ser parte de una de las empresas de consumo masivo más grande de Chile!",10,"- Enseñanza Media Completa y experiencia relacionada con el cargo.
- Disponibilidad para trabajar en Turnos Rotativos de lunes a sábado (Mañana, Tarde y Noche)."
Supervisor de Logística (Talca),Otra Área,"Talca, Maule",Talca,Maule,2026-07-07,6099358,embonor,2026-07-17,2026-07-18,0.4209,Supervisor,Jornada Completa,Coca-Cola Embonor,Universitaria,Chile,2 años,2026-05-09,https://embonor.trabajando.cl/trabajo-empleo/supervisor-de-logistica-talca/trabajo/6099358,¡Refresca tu experiencia en Coca-Cola...,"¡Refresca tu experiencia en Coca-Cola Embonor!
En Coca-Cola Embonor estamos en búsqueda de Supervisor de Logística para desempeñarse en Planta de Talca.
¿Cuál será tu principal desafío?
Supervisar y ejecutar de forma segura los procesos operacionales, administrativos y de buenas prácticas del Centro de Distribución a objeto de optimizar los procesos y los recursos asignados y a la correcta ejecución de las tareas encomendadas, almacenamiento, custodia de productos y envases.
¿Qué buscamos?
Titulado de Ingeniería en Transporte, Logística o Administración de Empresas.
Disponibilidad para trabajar por turnos rotativos de lunes a sábado (mañana, tarde y noche).
Al menos 2 años de experiencia en cargos similares.
Manejo intermedio de Excel.
Idealmente contar con conocimientos en sistema WMS o SAP.
Condiciones:
-Contrato a plazo fijo sujeto a evaluación para paso a indefinido.
-Transporte de acercamiento.
Turnos rotativos de lunes a sábado (mañana, tarde y noche).
¿Estas listo para refrescar la vida de nuestros consumidores con la mejor hidratación del mundo?
¡Te invitamos a ser parte de una de las empresas de consumo masivo más grande de Chile!
Para avanzar en el proceso, sigue estos pasos:
1. Postula por este medio.
2. Espera un correo de nuestra plataforma de evaluación.
3. Continúa tu postulación a través de la plataforma EVALUAR, portal de empleo oficial de Coca-Cola Embonor",1,"Titulado de Ingeniería en Transporte, Logística o Administración de Empresas.
Disponibilidad para trabajar por turnos rotativos de lunes a sábado (mañana, tarde y noche).
Al menos 2 años de experiencia en cargos similares.
Manejo intermedio de Excel.
Idealmente contar con conocimientos en sistema WMS o SAP."
Administrativo(A) de Mantención (Arica),Otra Área,"Arica, Arica y Parinacota",Arica,Arica y Parinacota,2026-06-25,6095195,embonor,2026-07-17,2026-07-18,0.4159,Administrativo,Jornada Completa,Coca-Cola Embonor,Técnico profesional superior,Chile,1 años,2026-08-24,https://embonor.trabajando.cl/trabajo-empleo/administrativo-a-de-mantencion-arica/trabajo/6095195,¡Refresca tu experiencia en Coca-Cola...,"¡Refresca tu experiencia en Coca-Cola Embonor!
En Coca-Cola Embonor estamos en búsqueda de Administrativo de Mantención para desempeñarse en el área Industrial en Planta de Arica.
¿Cuál será tu principal desafío?
Tendrás la responsabilidad de cumplir los procedimientos administrativos vinculados al área de mantención, generando solicitudes de pedido, recibiendo facturas y apoyando el proceso documental de ingreso de empresas contratistas.
Requisitos:
- Titulado/a de Técnico de Nivel Superior en Administración de Empresas o carrera afín.
- Manejo de office nivel usuario.
- Contar con experiencia en cargos relacionados.
Condiciones y Beneficios:
- Contrato plazo fijo, luego indefinido.
- Casino.
- Beneficios área de bienestar al pasar a indefinido.
¿Estas listo para refrescar la vida de nuestros consumidores con la mejor hidratación del mundo?
¡Te invitamos a ser parte de una de las empresas de consumo masivo más grande de Chile!",1,"- Titulado/a de Técnico de Nivel Superior en Administración de Empresas o carrera afín.
- Manejo de office nivel usuario.
- Contar con experiencia en cargos relacionados."
Expedicionario(A) (Arica),Otra Área,"Iquique, Tarapacá",Iquique,Tarapacá,2026-06-25,6095192,embonor,2026-07-17,2026-07-18,0.3681,Administrativo,Por Turnos,Coca-Cola Embonor,Técnico profesional superior,Chile,1 años,2026-08-24,https://embonor.trabajando.cl/trabajo-empleo/expedicionario-a-arica/trabajo/6095192,¡Refresca tu experiencia en Coca-Cola...,"¡Refresca tu experiencia en Coca-Cola Embonor!
Coca-Cola Embonor busca incorporar a su Área de Administración a Técnico Nivel Superior en Administración de Empresas, o carrera a fin para desempeñarse en el cargo de Expedicionario(A) para planta de Arica.
¿Cuál será tu principal desafío?
Custodiar los activos de la Compañía a través de la operación de conteo y administración de los movimientos de recepción y despacho de los productos de acuerdo a los procedimientos de Coca Cola Embonor. Incluye labores operativas de Expedición.
Tareas específicas:
Controlar salidas de camiones de ruta, de acarreo y camionetas.
Controlar recepción de camiones de ruta, de acarreo y camionetas.
Realizar conteo físico de la carga.
Registrar horas de salida y recepción.
Confeccionar guías de despacho.
Requisitos:
Titulado de Técnico Superior en Administración de Empresas, o carrera afín.
·       Experiencia en control de ingresos, creación documentos y facturas.
Curso cajero (no excluyente)
Disponibilidad para trabajar en turnos rotativos de lunes a sábado (Mañana, Tarde y Noche).
Condiciones y Beneficios:
Contrato plazo fijo con posibilidad de pazo a indefinido.
Trabajo por turnos rotativos de lunes a sábado (44 hrs) (Mañana, Tarde y Noche).
Ingresar a un equipo de profesionales que forman parte de una empresa sólida y reconocida.
Para avanzar en el proceso, sigue estos pasos: 📣
1. Postula por este medio.
2. Espera un correo de nuestra plataforma de evaluación.
3. Continúa tu postulación a través de la plataforma EVALUAR, portal de empleo oficial de Coca-Cola Embonor.
¿Estas listo para refrescar la vida de nuestros consumidores con la mejor hidratación del mundo?
¡Te invitamos a ser parte de una de las empresas de consumo masivo más grande de Chile!",1,"Titulado de Técnico Superior en Administración de Empresas, o carrera afín.
Experiencia en control de ingresos, creación documentos y facturas.
Curso cajero (no excluyente)
Disponibilidad para trabajar en turnos rotativos de lunes a sábado (Mañana, Tarde y Noche)."
Analista de Incentivos Variables (Talca),Otra Área,"Talca, Maule",Talca,Maule,2026-06-19,6085178,embonor,2026-07-17,2026-07-18,0.4046,Analista,Jornada Completa,Coca-Cola Embonor,Universitaria,Chile,1 años,2026-08-18,https://embonor.trabajando.cl/trabajo-empleo/analista-de-incentivos-variables-talca/trabajo/6085178,¡Refresca tu experiencia en Coca-Cola...,"¡Refresca tu experiencia en Coca-Cola Embonor!
En Coca-Cola Embonor estamos en búsqueda de Ingeniero(a) Civil Industrial con al menos 1 año de experiencia para desempeñarse en el cargo de Analista de Incentivos Variables en Planta de Talca.
¿Cuál será tu principal desafío?
Ejecutar y desarrollar procesos de análisis y cálculo de remuneraciones variables para las distintas Plantas y Centros de Distribución a nivel nacional, asegurando exactitud, cumplimiento normativo y eficiencia en la gestión de pagos.
Requisitos:
· Ingeniero Civil Industrial o carrera afín con al menos 1 año de experiencia.
. Conocimiento medio/avanzado en Excel
· Conocimiento en herramientas de BI (Deseable)
· Conocimiento en normativa y legislación laboral Vigente (Deseable)
Condiciones y Beneficios:
- Contrato plazo luego a indefinido de acuerdo a resultados.
-Modalidad de trabajo: Presencial (Talca).
- Casino.
- Beneficios Bienestar.
Para avanzar en el proceso, sigue estos pasos:
1. Postula por este medio.
2. Espera un correo de nuestra plataforma de evaluación.
3. Continúa tu postulación a través de la plataforma EVALUAR, portal de empleo oficial de Coca-Cola Embonor
¿Estas listo para refrescar la vida de nuestros consumidores con la mejor hidratación del mundo?
¡Te invitamos a ser parte de una de las empresas de consumo masivo más grande de Chile!",1,"· Ingeniero Civil Industrial o carrera afín con al menos 1 año de experiencia.
. Conocimiento medio/avanzado en Excel
· Conocimiento en herramientas de BI (Deseable)
· Conocimiento en normativa y legislación laboral Vigente (Deseable)"
Expedicionario(A) - Plazo Fijo (Concón),Otra Área,"Concon, Valparaíso",Concon,Valparaíso,2026-06-17,6083950,embonor,2026-07-17,2026-07-18,0.343,Administrativo,Por Turnos,Coca-Cola Embonor,Técnico profesional superior,Chile,1 años,2026-08-16,https://embonor.trabajando.cl/trabajo-empleo/expedicionario-a-plazo-fijo-concon/trabajo/6083950,¡Refresca tu experiencia en Coca-Cola...,"¡Refresca tu experiencia en Coca-Cola Embonor!
Coca-Cola Embonor busca incorporar a su Área de Administración a Técnico Nivel Superior en Administración de Empresas, o carrera a fin para desempeñarse en el cargo de Expedicionario(A) por un plazo fijo para planta de Concón.
¿Cuál será tu principal desafío?
Custodiar los activos de la Compañía a través de la operación de conteo y administración de los movimientos de recepción y despacho de los productos de acuerdo a los procedimientos de Coca Cola Embonor. Incluye labores operativas de Expedición.
Tareas específicas:
Controlar salidas de camiones de ruta, de acarreo y camionetas.
Controlar recepción de camiones de ruta, de acarreo y camionetas.
Realizar conteo físico de la carga.
Registrar horas de salida y recepción.
Confeccionar guías de despacho.
Requisitos:
Titulado de Técnico Superior en Administración de Empresas, o carrera afín.
·       Experiencia en control de ingresos, creación documentos y facturas.
Curso cajero (no excluyente)
Disponibilidad para trabajar en turnos rotativos de lunes a sábado (Mañana, Tarde y Noche).
Disponibilidad para realizar un plazo fijo.
Condiciones y Beneficios:
Contrato plazo fijo
Trabajo por turnos rotativos de lunes a sábado (44 hrs) (Mañana, Tarde y Noche).
Casino + bus de acercamiento.
Para avanzar en el proceso, sigue estos pasos: 📣
1. Postula por este medio.
2. Espera un correo de nuestra plataforma de evaluación.
3. Continúa tu postulación a través de la plataforma EVALUAR, portal de empleo oficial de Coca-Cola Embonor.
¿Estas listo para refrescar la vida de nuestros consumidores con la mejor hidratación del mundo?
¡Te invitamos a ser parte de una de las empresas de consumo masivo más grande de Chile!",1,"Titulado de Técnico Superior en Administración de Empresas, o carrera afín.
Experiencia en control de ingresos, creación documentos y facturas.
Curso cajero (no excluyente)
Disponibilidad para trabajar en turnos rotativos de lunes a sábado (Mañana, Tarde y Noche).
Disponibilidad para realizar un plazo fijo"
Planificador de Mantenimiento (Arica),Otra Área,"Arica, Arica y Parinacota",Arica,Arica y Parinacota,2026-06-17,6083601,embonor,2026-07-17,2026-07-18,0.4022,Ingeniero,Jornada Completa,Coca-Cola Embonor,Universitaria,Chile,3 años,2026-08-16,https://embonor.trabajando.cl/trabajo-empleo/planificador-de-mantenimiento-arica/trabajo/6083601,En Coca-Cola Embonor estamos en búsqueda...,"En Coca-Cola Embonor estamos en búsqueda de Planificador de Mantenimiento para desempeñarse en el área Industrial en su Planta de Arica.
¿Cuál será tu principal desafío?
Planificar y programar los procesos de mantenimiento de la planta y centros de distribución mediante la adecuada administración de los recursos disponibles, utilizando las herramientas administrativas, financieras y de recursos humanos para una correcta ejecución del mantenimiento. Además, cumplir con el plan de mantenimiento preventivo y correctivo de todas las instalaciones de la compañía (productivas y no productivas), asegurando su disponibilidad y minimizando las paradas no planificadas.
Requisitos:
Título de Ingeniería Industrial, Ingeniería Mecánica, Ingeniería Eléctrica, Ingeniería Electrónica, Automatización o carrera afín.
Al menos 3 años de experiencia en cargos similares (planificación).
Idealmente contar con experiencia en industrias alimentarias o industriales.
Conocimiento de Normas ISO 9001, 14001, 22000 + PAS 220, OSHAS 18000.
Manejo de procesos industriales y control presupuestario.
Ideal manejo de SAP (no excluyente)
Condiciones y Beneficios:
Contrato a plazo fijo, luego indefinido.
Casino.
Beneficios área de bienestar.",1,"Título de Ingeniería Industrial, Ingeniería Mecánica, Ingeniería Eléctrica, Ingeniería Electrónica, Automatización o carrera afín.
Al menos 3 años de experiencia en cargos similares (planificación).
Idealmente contar con experiencia en industrias alimentarias o industriales.
Conocimiento de Normas ISO 9001, 14001, 22000 + PAS 220, OSHAS 18000.
Manejo de procesos industriales y control presupuestario.
Ideal manejo de SAP (no excluyente)"
